hour,occupancy
2016-02-01 00:00:00,23
2016-02-01 01:00:00,21
2016-02-01 02:00:00,19
2016-02-01 03:00:00,17
2016-02-01 04:00:00,18
2016-02-01 05:00:00,53
2016-02-01 06:00:00,214
2016-02-01 07:00:00,846
2016-02-01 08:00:00,1631
2016-02-01 09:00:00,2329
2016-02-01 10:00:00,2532
2016-02-01 11:00:00,2541
2016-02-01 12:00:00,2449
2016-02-01 13:00:00,2477
2016-02-01 14:00:00,2535
2016-02-01 15:00:00,2479
2016-02-01 16:00:00,2202
2016-02-01 17:00:00,1456
2016-02-01 18:00:00,718
2016-02-01 19:00:00,259
2016-02-01 20:00:00,136
2016-02-01 21:00:00,91
2016-02-01 22:00:00,64
2016-02-01 23:00:00,47
2016-02-02 00:00:00,33
2016-02-02 01:00:00,28
2016-02-02 02:00:00,24
2016-02-02 03:00:00,20
2016-02-02 04:00:00,19
2016-02-02 05:00:00,43
2016-02-02 06:00:00,225
2016-02-02 07:00:00,883
2016-02-02 08:00:00,1745
2016-02-02 09:00:00,2390
2016-02-02 10:00:00,2584
2016-02-02 11:00:00,2602
2016-02-02 12:00:00,2506
2016-02-02 13:00:00,2516
2016-02-02 14:00:00,2560
2016-02-02 15:00:00,2498
2016-02-02 16:00:00,2220
2016-02-02 17:00:00,1463
2016-02-02 18:00:00,729
2016-02-02 19:00:00,293
2016-02-02 20:00:00,159
2016-02-02 21:00:00,116
2016-02-02 22:00:00,80
2016-02-02 23:00:00,53
2016-02-03 00:00:00,43
2016-02-03 01:00:00,37
2016-02-03 02:00:00,34
2016-02-03 03:00:00,31
2016-02-03 04:00:00,25
2016-02-03 05:00:00,60
2016-02-03 06:00:00,221
2016-02-03 07:00:00,864
2016-02-03 08:00:00,1689
2016-02-03 09:00:00,2399
2016-02-03 10:00:00,2605
2016-02-03 11:00:00,2650
2016-02-03 12:00:00,2554
2016-02-03 13:00:00,2527
2016-02-03 14:00:00,2596
2016-02-03 15:00:00,2539
2016-02-03 16:00:00,2267
2016-02-03 17:00:00,1529
2016-02-03 18:00:00,777
2016-02-03 19:00:00,326
2016-02-03 20:00:00,187
2016-02-03 21:00:00,142
2016-02-03 22:00:00,97
2016-02-03 23:00:00,75
2016-02-04 00:00:00,61
2016-02-04 01:00:00,51
2016-02-04 02:00:00,50
2016-02-04 03:00:00,45
2016-02-04 04:00:00,42
2016-02-04 05:00:00,65
2016-02-04 06:00:00,214
2016-02-04 07:00:00,842
2016-02-04 08:00:00,1594
2016-02-04 09:00:00,2317
2016-02-04 10:00:00,2552
2016-02-04 11:00:00,2607
2016-02-04 12:00:00,2500
2016-02-04 13:00:00,2518
2016-02-04 14:00:00,2583
2016-02-04 15:00:00,2505
2016-02-04 16:00:00,2203
2016-02-04 17:00:00,1470
2016-02-04 18:00:00,736
2016-02-04 19:00:00,277
2016-02-04 20:00:00,141
2016-02-04 21:00:00,99
2016-02-04 22:00:00,73
2016-02-04 23:00:00,49
2016-02-05 00:00:00,32
2016-02-05 01:00:00,26
2016-02-05 02:00:00,24
2016-02-05 03:00:00,22
2016-02-05 04:00:00,22
2016-02-05 05:00:00,33
2016-02-05 06:00:00,128
2016-02-05 07:00:00,474
2016-02-05 08:00:00,983
2016-02-05 09:00:00,1572
2016-02-05 10:00:00,1798
2016-02-05 11:00:00,1811
2016-02-05 12:00:00,1628
2016-02-05 13:00:00,1531
2016-02-05 14:00:00,1479
2016-02-05 15:00:00,1345
2016-02-05 16:00:00,970
2016-02-05 17:00:00,549
2016-02-05 18:00:00,262
2016-02-05 19:00:00,124
2016-02-05 20:00:00,81
2016-02-05 21:00:00,67
2016-02-05 22:00:00,46
2016-02-05 23:00:00,28
2016-02-06 00:00:00,22
2016-02-06 01:00:00,24
2016-02-06 02:00:00,22
2016-02-06 03:00:00,22
2016-02-06 04:00:00,23
2016-02-06 05:00:00,23
2016-02-06 06:00:00,26
2016-02-06 07:00:00,28
2016-02-06 08:00:00,31
2016-02-06 09:00:00,41
2016-02-06 10:00:00,51
2016-02-06 11:00:00,63
2016-02-06 12:00:00,67
2016-02-06 13:00:00,69
2016-02-06 14:00:00,63
2016-02-06 15:00:00,69
2016-02-06 16:00:00,61
2016-02-06 17:00:00,58
2016-02-06 18:00:00,63
2016-02-06 19:00:00,43
2016-02-06 20:00:00,41
2016-02-06 21:00:00,35
2016-02-06 22:00:00,33
2016-02-06 23:00:00,26
2016-02-07 00:00:00,22
2016-02-07 01:00:00,21
2016-02-07 02:00:00,21
2016-02-07 03:00:00,21
2016-02-07 04:00:00,21
2016-02-07 05:00:00,22
2016-02-07 06:00:00,22
2016-02-07 07:00:00,22
2016-02-07 08:00:00,24
2016-02-07 09:00:00,35
2016-02-07 10:00:00,47
2016-02-07 11:00:00,83
2016-02-07 12:00:00,93
2016-02-07 13:00:00,69
2016-02-07 14:00:00,53
2016-02-07 15:00:00,54
2016-02-07 16:00:00,49
2016-02-07 17:00:00,43
2016-02-07 18:00:00,33
2016-02-07 19:00:00,25
2016-02-07 20:00:00,21
2016-02-07 21:00:00,22
2016-02-07 22:00:00,23
2016-02-07 23:00:00,22
2016-02-08 00:00:00,22
2016-02-08 01:00:00,19
2016-02-08 02:00:00,18
2016-02-08 03:00:00,17
2016-02-08 04:00:00,17
2016-02-08 05:00:00,42
2016-02-08 06:00:00,179
2016-02-08 07:00:00,752
2016-02-08 08:00:00,1551
2016-02-08 09:00:00,2209
2016-02-08 10:00:00,2454
2016-02-08 11:00:00,2487
2016-02-08 12:00:00,2381
2016-02-08 13:00:00,2401
2016-02-08 14:00:00,2442
2016-02-08 15:00:00,2393
2016-02-08 16:00:00,2138
2016-02-08 17:00:00,1414
2016-02-08 18:00:00,689
2016-02-08 19:00:00,266
2016-02-08 20:00:00,135
2016-02-08 21:00:00,93
2016-02-08 22:00:00,68
2016-02-08 23:00:00,46
2016-02-09 00:00:00,48
2016-02-09 01:00:00,35
2016-02-09 02:00:00,32
2016-02-09 03:00:00,26
2016-02-09 04:00:00,27
2016-02-09 05:00:00,44
2016-02-09 06:00:00,206
2016-02-09 07:00:00,835
2016-02-09 08:00:00,1598
2016-02-09 09:00:00,2311
2016-02-09 10:00:00,2556
2016-02-09 11:00:00,2581
2016-02-09 12:00:00,2483
2016-02-09 13:00:00,2501
2016-02-09 14:00:00,2568
2016-02-09 15:00:00,2533
2016-02-09 16:00:00,2245
2016-02-09 17:00:00,1472
2016-02-09 18:00:00,733
2016-02-09 19:00:00,274
2016-02-09 20:00:00,147
2016-02-09 21:00:00,101
2016-02-09 22:00:00,62
2016-02-09 23:00:00,33
2016-02-10 00:00:00,26
2016-02-10 01:00:00,24
2016-02-10 02:00:00,21
2016-02-10 03:00:00,18
2016-02-10 04:00:00,19
2016-02-10 05:00:00,41
2016-02-10 06:00:00,204
2016-02-10 07:00:00,852
2016-02-10 08:00:00,1623
2016-02-10 09:00:00,2307
2016-02-10 10:00:00,2549
2016-02-10 11:00:00,2599
2016-02-10 12:00:00,2466
2016-02-10 13:00:00,2495
2016-02-10 14:00:00,2577
2016-02-10 15:00:00,2528
2016-02-10 16:00:00,2220
2016-02-10 17:00:00,1458
2016-02-10 18:00:00,760
2016-02-10 19:00:00,318
2016-02-10 20:00:00,175
2016-02-10 21:00:00,118
2016-02-10 22:00:00,88
2016-02-10 23:00:00,51
2016-02-11 00:00:00,34
2016-02-11 01:00:00,34
2016-02-11 02:00:00,32
2016-02-11 03:00:00,32
2016-02-11 04:00:00,33
2016-02-11 05:00:00,56
2016-02-11 06:00:00,208
2016-02-11 07:00:00,805
2016-02-11 08:00:00,1573
2016-02-11 09:00:00,2285
2016-02-11 10:00:00,2523
2016-02-11 11:00:00,2553
2016-02-11 12:00:00,2429
2016-02-11 13:00:00,2457
2016-02-11 14:00:00,2491
2016-02-11 15:00:00,2454
2016-02-11 16:00:00,2139
2016-02-11 17:00:00,1386
2016-02-11 18:00:00,676
2016-02-11 19:00:00,289
2016-02-11 20:00:00,160
2016-02-11 21:00:00,119
2016-02-11 22:00:00,81
2016-02-11 23:00:00,53
2016-02-12 00:00:00,49
2016-02-12 01:00:00,42
2016-02-12 02:00:00,40
2016-02-12 03:00:00,40
2016-02-12 04:00:00,40
2016-02-12 05:00:00,50
2016-02-12 06:00:00,131
2016-02-12 07:00:00,498
2016-02-12 08:00:00,1001
2016-02-12 09:00:00,1566
2016-02-12 10:00:00,1784
2016-02-12 11:00:00,1787
2016-02-12 12:00:00,1607
2016-02-12 13:00:00,1471
2016-02-12 14:00:00,1424
2016-02-12 15:00:00,1209
2016-02-12 16:00:00,880
2016-02-12 17:00:00,523
2016-02-12 18:00:00,245
2016-02-12 19:00:00,126
2016-02-12 20:00:00,84
2016-02-12 21:00:00,74
2016-02-12 22:00:00,56
2016-02-12 23:00:00,32
2016-02-13 00:00:00,29
2016-02-13 01:00:00,29
2016-02-13 02:00:00,25
2016-02-13 03:00:00,24
2016-02-13 04:00:00,24
2016-02-13 05:00:00,23
2016-02-13 06:00:00,26
2016-02-13 07:00:00,29
2016-02-13 08:00:00,33
2016-02-13 09:00:00,53
2016-02-13 10:00:00,75
2016-02-13 11:00:00,88
2016-02-13 12:00:00,80
2016-02-13 13:00:00,75
2016-02-13 14:00:00,72
2016-02-13 15:00:00,66
2016-02-13 16:00:00,58
2016-02-13 17:00:00,47
2016-02-13 18:00:00,42
2016-02-13 19:00:00,36
2016-02-13 20:00:00,31
2016-02-13 21:00:00,25
2016-02-13 22:00:00,24
2016-02-13 23:00:00,24
2016-02-14 00:00:00,24
2016-02-14 01:00:00,25
2016-02-14 02:00:00,25
2016-02-14 03:00:00,21
2016-02-14 04:00:00,21
2016-02-14 05:00:00,21
2016-02-14 06:00:00,25
2016-02-14 07:00:00,33
2016-02-14 08:00:00,66
2016-02-14 09:00:00,75
2016-02-14 10:00:00,77
2016-02-14 11:00:00,99
2016-02-14 12:00:00,97
2016-02-14 13:00:00,81
2016-02-14 14:00:00,56
2016-02-14 15:00:00,58
2016-02-14 16:00:00,54
2016-02-14 17:00:00,46
2016-02-14 18:00:00,37
2016-02-14 19:00:00,33
2016-02-14 20:00:00,27
2016-02-14 21:00:00,27
2016-02-14 22:00:00,26
2016-02-14 23:00:00,25
2016-02-15 00:00:00,27
2016-02-15 01:00:00,26
2016-02-15 02:00:00,26
2016-02-15 03:00:00,25
2016-02-15 04:00:00,25
2016-02-15 05:00:00,47
2016-02-15 06:00:00,177
2016-02-15 07:00:00,754
2016-02-15 08:00:00,1463
2016-02-15 09:00:00,1926
2016-02-15 10:00:00,2062
2016-02-15 11:00:00,2092
2016-02-15 12:00:00,2018
2016-02-15 13:00:00,2042
2016-02-15 14:00:00,2057
2016-02-15 15:00:00,2023
2016-02-15 16:00:00,1811
2016-02-15 17:00:00,1165
2016-02-15 18:00:00,587
2016-02-15 19:00:00,234
2016-02-15 20:00:00,128
2016-02-15 21:00:00,91
2016-02-15 22:00:00,65
2016-02-15 23:00:00,44
2016-02-16 00:00:00,49
2016-02-16 01:00:00,43
2016-02-16 02:00:00,35
2016-02-16 03:00:00,32
2016-02-16 04:00:00,30
2016-02-16 05:00:00,54
2016-02-16 06:00:00,225
2016-02-16 07:00:00,874
2016-02-16 08:00:00,1715
2016-02-16 09:00:00,2400
2016-02-16 10:00:00,2573
2016-02-16 11:00:00,2599
2016-02-16 12:00:00,2537
2016-02-16 13:00:00,2548
2016-02-16 14:00:00,2601
2016-02-16 15:00:00,2520
2016-02-16 16:00:00,2236
2016-02-16 17:00:00,1434
2016-02-16 18:00:00,715
2016-02-16 19:00:00,268
2016-02-16 20:00:00,142
2016-02-16 21:00:00,105
2016-02-16 22:00:00,79
2016-02-16 23:00:00,48
2016-02-17 00:00:00,46
2016-02-17 01:00:00,40
2016-02-17 02:00:00,30
2016-02-17 03:00:00,30
2016-02-17 04:00:00,28
2016-02-17 05:00:00,48
2016-02-17 06:00:00,192
2016-02-17 07:00:00,853
2016-02-17 08:00:00,1667
2016-02-17 09:00:00,2358
2016-02-17 10:00:00,2586
2016-02-17 11:00:00,2636
2016-02-17 12:00:00,2521
2016-02-17 13:00:00,2546
2016-02-17 14:00:00,2587
2016-02-17 15:00:00,2548
2016-02-17 16:00:00,2275
2016-02-17 17:00:00,1514
2016-02-17 18:00:00,778
2016-02-17 19:00:00,340
2016-02-17 20:00:00,180
2016-02-17 21:00:00,134
2016-02-17 22:00:00,90
2016-02-17 23:00:00,57
2016-02-18 00:00:00,56
2016-02-18 01:00:00,45
2016-02-18 02:00:00,39
2016-02-18 03:00:00,34
2016-02-18 04:00:00,36
2016-02-18 05:00:00,55
2016-02-18 06:00:00,197
2016-02-18 07:00:00,827
2016-02-18 08:00:00,1601
2016-02-18 09:00:00,2240
2016-02-18 10:00:00,2503
2016-02-18 11:00:00,2559
2016-02-18 12:00:00,2434
2016-02-18 13:00:00,2453
2016-02-18 14:00:00,2460
2016-02-18 15:00:00,2401
2016-02-18 16:00:00,2140
2016-02-18 17:00:00,1381
2016-02-18 18:00:00,724
2016-02-18 19:00:00,290
2016-02-18 20:00:00,155
2016-02-18 21:00:00,109
2016-02-18 22:00:00,81
2016-02-18 23:00:00,52
2016-02-19 00:00:00,50
2016-02-19 01:00:00,45
2016-02-19 02:00:00,38
2016-02-19 03:00:00,35
2016-02-19 04:00:00,37
2016-02-19 05:00:00,49
2016-02-19 06:00:00,135
2016-02-19 07:00:00,464
2016-02-19 08:00:00,982
2016-02-19 09:00:00,1549
2016-02-19 10:00:00,1754
2016-02-19 11:00:00,1752
2016-02-19 12:00:00,1540
2016-02-19 13:00:00,1459
2016-02-19 14:00:00,1391
2016-02-19 15:00:00,1264
2016-02-19 16:00:00,925
2016-02-19 17:00:00,531
2016-02-19 18:00:00,226
2016-02-19 19:00:00,114
2016-02-19 20:00:00,76
2016-02-19 21:00:00,69
2016-02-19 22:00:00,54
2016-02-19 23:00:00,34
2016-02-20 00:00:00,27
2016-02-20 01:00:00,26
2016-02-20 02:00:00,25
2016-02-20 03:00:00,25
2016-02-20 04:00:00,25
2016-02-20 05:00:00,25
2016-02-20 06:00:00,25
2016-02-20 07:00:00,26
2016-02-20 08:00:00,35
2016-02-20 09:00:00,47
2016-02-20 10:00:00,61
2016-02-20 11:00:00,61
2016-02-20 12:00:00,58
2016-02-20 13:00:00,59
2016-02-20 14:00:00,63
2016-02-20 15:00:00,59
2016-02-20 16:00:00,58
2016-02-20 17:00:00,52
2016-02-20 18:00:00,47
2016-02-20 19:00:00,40
2016-02-20 20:00:00,35
2016-02-20 21:00:00,29
2016-02-20 22:00:00,27
2016-02-20 23:00:00,25
2016-02-21 00:00:00,26
2016-02-21 01:00:00,25
2016-02-21 02:00:00,24
2016-02-21 03:00:00,24
2016-02-21 04:00:00,24
2016-02-21 05:00:00,24
2016-02-21 06:00:00,25
2016-02-21 07:00:00,26
2016-02-21 08:00:00,30
2016-02-21 09:00:00,36
2016-02-21 10:00:00,47
2016-02-21 11:00:00,79
2016-02-21 12:00:00,82
2016-02-21 13:00:00,64
2016-02-21 14:00:00,59
2016-02-21 15:00:00,69
2016-02-21 16:00:00,86
2016-02-21 17:00:00,70
2016-02-21 18:00:00,56
2016-02-21 19:00:00,36
2016-02-21 20:00:00,37
2016-02-21 21:00:00,34
2016-02-21 22:00:00,31
2016-02-21 23:00:00,30
2016-02-22 00:00:00,28
2016-02-22 01:00:00,26
2016-02-22 02:00:00,23
2016-02-22 03:00:00,21
2016-02-22 04:00:00,23
2016-02-22 05:00:00,45
2016-02-22 06:00:00,200
2016-02-22 07:00:00,804
2016-02-22 08:00:00,1550
2016-02-22 09:00:00,2235
2016-02-22 10:00:00,2521
2016-02-22 11:00:00,2572
2016-02-22 12:00:00,2481
2016-02-22 13:00:00,2485
2016-02-22 14:00:00,2503
2016-02-22 15:00:00,2435
2016-02-22 16:00:00,2185
2016-02-22 17:00:00,1469
2016-02-22 18:00:00,724
2016-02-22 19:00:00,274
2016-02-22 20:00:00,128
2016-02-22 21:00:00,96
2016-02-22 22:00:00,66
2016-02-22 23:00:00,39
2016-02-23 00:00:00,35
2016-02-23 01:00:00,30
2016-02-23 02:00:00,29
2016-02-23 03:00:00,24
2016-02-23 04:00:00,23
2016-02-23 05:00:00,43
2016-02-23 06:00:00,206
2016-02-23 07:00:00,830
2016-02-23 08:00:00,1622
2016-02-23 09:00:00,2289
2016-02-23 10:00:00,2575
2016-02-23 11:00:00,2622
2016-02-23 12:00:00,2500
2016-02-23 13:00:00,2520
2016-02-23 14:00:00,2561
2016-02-23 15:00:00,2489
2016-02-23 16:00:00,2202
2016-02-23 17:00:00,1455
2016-02-23 18:00:00,676
2016-02-23 19:00:00,256
2016-02-23 20:00:00,118
2016-02-23 21:00:00,91
2016-02-23 22:00:00,70
2016-02-23 23:00:00,43
2016-02-24 00:00:00,37
2016-02-24 01:00:00,34
2016-02-24 02:00:00,23
2016-02-24 03:00:00,21
2016-02-24 04:00:00,24
2016-02-24 05:00:00,59
2016-02-24 06:00:00,183
2016-02-24 07:00:00,819
2016-02-24 08:00:00,1628
2016-02-24 09:00:00,2260
2016-02-24 10:00:00,2436
2016-02-24 11:00:00,2442
2016-02-24 12:00:00,2374
2016-02-24 13:00:00,2387
2016-02-24 14:00:00,2407
2016-02-24 15:00:00,2359
2016-02-24 16:00:00,2086
2016-02-24 17:00:00,1349
2016-02-24 18:00:00,630
2016-02-24 19:00:00,245
2016-02-24 20:00:00,143
2016-02-24 21:00:00,99
2016-02-24 22:00:00,74
2016-02-24 23:00:00,45
2016-02-25 00:00:00,45
2016-02-25 01:00:00,38
2016-02-25 02:00:00,36
2016-02-25 03:00:00,30
2016-02-25 04:00:00,30
2016-02-25 05:00:00,53
2016-02-25 06:00:00,243
2016-02-25 07:00:00,910
2016-02-25 08:00:00,1683
2016-02-25 09:00:00,2360
2016-02-25 10:00:00,2510
2016-02-25 11:00:00,2509
2016-02-25 12:00:00,2411
2016-02-25 13:00:00,2417
2016-02-25 14:00:00,2445
2016-02-25 15:00:00,2369
2016-02-25 16:00:00,2030
2016-02-25 17:00:00,1257
2016-02-25 18:00:00,604
2016-02-25 19:00:00,254
2016-02-25 20:00:00,132
2016-02-25 21:00:00,103
2016-02-25 22:00:00,74
2016-02-25 23:00:00,42
2016-02-26 00:00:00,29
2016-02-26 01:00:00,27
2016-02-26 02:00:00,24
2016-02-26 03:00:00,24
2016-02-26 04:00:00,23
2016-02-26 05:00:00,37
2016-02-26 06:00:00,151
2016-02-26 07:00:00,492
2016-02-26 08:00:00,983
2016-02-26 09:00:00,1541
2016-02-26 10:00:00,1719
2016-02-26 11:00:00,1673
2016-02-26 12:00:00,1484
2016-02-26 13:00:00,1405
2016-02-26 14:00:00,1383
2016-02-26 15:00:00,1145
2016-02-26 16:00:00,832
2016-02-26 17:00:00,489
2016-02-26 18:00:00,241
2016-02-26 19:00:00,142
2016-02-26 20:00:00,120
2016-02-26 21:00:00,108
2016-02-26 22:00:00,92
2016-02-26 23:00:00,64
2016-02-27 00:00:00,44
2016-02-27 01:00:00,37
2016-02-27 02:00:00,33
2016-02-27 03:00:00,33
2016-02-27 04:00:00,33
2016-02-27 05:00:00,33
2016-02-27 06:00:00,36
2016-02-27 07:00:00,38
2016-02-27 08:00:00,43
2016-02-27 09:00:00,52
2016-02-27 10:00:00,64
2016-02-27 11:00:00,71
2016-02-27 12:00:00,59
2016-02-27 13:00:00,54
2016-02-27 14:00:00,56
2016-02-27 15:00:00,54
2016-02-27 16:00:00,50
2016-02-27 17:00:00,40
2016-02-27 18:00:00,41
2016-02-27 19:00:00,35
2016-02-27 20:00:00,33
2016-02-27 21:00:00,35
2016-02-27 22:00:00,33
2016-02-27 23:00:00,31
2016-02-28 00:00:00,32
2016-02-28 01:00:00,31
2016-02-28 02:00:00,30
2016-02-28 03:00:00,30
2016-02-28 04:00:00,28
2016-02-28 05:00:00,28
2016-02-28 06:00:00,29
2016-02-28 07:00:00,28
2016-02-28 08:00:00,30
2016-02-28 09:00:00,43
2016-02-28 10:00:00,76
2016-02-28 11:00:00,173
2016-02-28 12:00:00,190
2016-02-28 13:00:00,180
2016-02-28 14:00:00,131
2016-02-28 15:00:00,103
2016-02-28 16:00:00,120
2016-02-28 17:00:00,130
2016-02-28 18:00:00,107
2016-02-28 19:00:00,67
2016-02-28 20:00:00,35
2016-02-28 21:00:00,33
2016-02-28 22:00:00,30
2016-02-28 23:00:00,26
2016-02-29 00:00:00,24
2016-02-29 01:00:00,24
2016-02-29 02:00:00,21
2016-02-29 03:00:00,20
2016-02-29 04:00:00,22
2016-02-29 05:00:00,57
2016-02-29 06:00:00,246
2016-02-29 07:00:00,884
2016-02-29 08:00:00,1667
2016-02-29 09:00:00,2292
2016-02-29 10:00:00,2471
2016-02-29 11:00:00,2492
2016-02-29 12:00:00,2396
2016-02-29 13:00:00,2447
2016-02-29 14:00:00,2477
2016-02-29 15:00:00,2424
2016-02-29 16:00:00,2102
2016-02-29 17:00:00,1372
2016-02-29 18:00:00,670
2016-02-29 19:00:00,248
2016-02-29 20:00:00,122
2016-02-29 21:00:00,92
2016-02-29 22:00:00,71
2016-02-29 23:00:00,47
